Company Name,Financial stability,Claims processing time,Customer service reputation,Premium cost,Deductibles,Network of providers
USAA,A,13,Poor,73,300,Regional
USAA,D,14,Good,142,379,Selected states
Progressive,B,13,Excellent,110,768,Selected states
Geico,E,14,Poor,121,285,Nationwide
USAA,C,10,Good,99,202,Regional
Geico,B,14,Excellent,72,387,Regional
USAA,B,9,Average,143,298,Nationwide
State Farm,B,7,Excellent,102,206,Selected states
Geico,D,10,Excellent,108,519,Nationwide
Progressive,D,9,Good,63,208,Selected states
Progressive,A,9,Average,70,442,Regional
Progressive,E,7,Poor,140,714,Nationwide
Progressive,B,6,Excellent,119,659,Nationwide
Geico,A,7,Average,124,594,Regional
Progressive,A,12,Average,142,607,Selected states
Allstate,B,13,Excellent,106,259,Nationwide
Allstate,C,13,Poor,104,705,Selected states
State Farm,C,5,Average,121,776,Nationwide
USAA,B,10,Poor,61,461,Regional
USAA,E,10,Good,51,665,Selected states
State Farm,C,9,Excellent,146,689,Selected states
State Farm,D,12,Good,124,544,Nationwide
Allstate,D,14,Good,129,637,Nationwide
State Farm,C,8,Good,99,650,Regional
State Farm,C,7,Poor,131,731,Nationwide
Progressive,B,7,Average,145,511,Selected states
Geico,D,6,Excellent,89,261,Regional
Geico,C,8,Excellent,145,474,Regional
State Farm,A,11,Good,92,417,Selected states
Allstate,E,10,Average,147,457,Selected states
Geico,E,12,Poor,77,327,Selected states
Allstate,C,14,Excellent,123,428,Regional
Allstate,D,9,Average,127,342,Regional
USAA,A,7,Excellent,79,455,Nationwide
Allstate,D,13,Poor,126,334,Regional
State Farm,D,15,Excellent,72,617,Regional
Geico,E,13,Poor,102,391,Nationwide
State Farm,D,13,Average,121,264,Selected states
State Farm,D,7,Average,137,358,Nationwide
Allstate,D,8,Average,99,668,Nationwide
Allstate,C,8,Average,74,582,Regional
Allstate,A,14,Poor,66,372,Nationwide
Allstate,E,12,Excellent,85,372,Regional
Geico,A,13,Good,107,264,Regional
Progressive,C,5,Average,96,717,Regional
Geico,B,11,Excellent,135,669,Nationwide
Allstate,D,15,Poor,117,610,Selected states
USAA,C,5,Excellent,91,628,Regional
Progressive,C,9,Poor,102,595,Regional
Geico,D,10,Excellent,95,796,Nationwide
State Farm,D,11,Poor,115,370,Nationwide
Progressive,C,9,Good,99,718,Nationwide
Geico,C,15,Average,59,718,Regional
Progressive,A,6,Poor,114,321,Selected states
Geico,C,7,Good,111,772,Nationwide
Progressive,C,11,Good,137,343,Nationwide
USAA,C,14,Good,97,444,Nationwide
State Farm,A,12,Poor,81,642,Regional
State Farm,B,15,Average,95,769,Regional
State Farm,A,6,Excellent,111,508,Nationwide
State Farm,D,12,Good,124,691,Regional
USAA,C,8,Average,135,648,Selected states
Allstate,C,8,Poor,127,275,Selected states
Geico,D,7,Good,100,553,Nationwide
Allstate,D,13,Excellent,85,703,Nationwide
Geico,A,13,Good,117,568,Nationwide
Progressive,B,5,Poor,120,442,Nationwide
State Farm,E,5,Good,119,768,Selected states
State Farm,A,12,Excellent,75,687,Selected states
Geico,D,13,Poor,64,344,Nationwide
USAA,D,12,Poor,104,277,Regional
Allstate,D,14,Poor,72,640,Nationwide
USAA,B,7,Poor,100,247,Selected states
Allstate,B,6,Excellent,146,240,Regional
USAA,B,9,Good,102,343,Regional
Allstate,D,8,Excellent,105,315,Selected states
Progressive,A,8,Excellent,90,391,Nationwide
Progressive,E,7,Good,119,296,Regional
Geico,E,7,Poor,101,553,Regional
Allstate,A,15,Poor,66,418,Nationwide
USAA,B,15,Poor,138,522,Selected states
State Farm,B,11,Excellent,75,688,Selected states
Progressive,C,13,Average,146,271,Nationwide
State Farm,B,8,Good,98,392,Selected states
Allstate,B,6,Average,104,263,Nationwide
USAA,A,12,Good,84,382,Nationwide
Allstate,A,5,Poor,135,318,Nationwide
Allstate,B,13,Poor,145,371,Selected states
Allstate,E,13,Average,131,478,Selected states
USAA,A,12,Average,120,251,Selected states
Allstate,D,5,Poor,98,695,Regional
Progressive,E,7,Excellent,55,324,Regional
Geico,C,14,Average,112,664,Regional
State Farm,A,6,Good,103,503,Selected states
Allstate,C,7,Poor,112,218,Nationwide
State Farm,A,15,Good,63,715,Regional
Geico,C,13,Excellent,65,601,Selected states
Allstate,C,6,Average,91,621,Selected states
State Farm,B,5,Excellent,105,303,Regional
Progressive,E,5,Excellent,51,361,Selected states
Allstate,A,11,Excellent,108,262,Regional
Geico,E,13,Poor,135,333,Regional
USAA,A,15,Good,129,573,Selected states
Allstate,D,12,Poor,103,595,Selected states
USAA,C,6,Average,111,497,Selected states
Geico,B,9,Excellent,95,531,Selected states
Geico,A,12,Poor,124,708,Nationwide
Progressive,C,13,Good,74,576,Selected states
Allstate,B,15,Excellent,148,354,Regional
Allstate,B,6,Poor,74,331,Regional
USAA,C,10,Average,80,360,Selected states
USAA,C,8,Average,52,622,Selected states
State Farm,A,14,Good,76,220,Regional
State Farm,C,11,Excellent,56,524,Selected states
Progressive,A,11,Good,60,729,Selected states
Geico,E,15,Poor,78,287,Nationwide
Geico,D,11,Poor,62,352,Nationwide
State Farm,E,7,Excellent,139,759,Selected states
Geico,E,8,Good,109,603,Regional
State Farm,D,9,Excellent,136,248,Selected states
Geico,B,13,Average,65,284,Nationwide
State Farm,D,8,Poor,134,206,Regional
Progressive,B,11,Excellent,64,307,Selected states
Progressive,A,10,Poor,108,463,Regional
Progressive,C,6,Excellent,127,510,Regional
Progressive,E,15,Excellent,81,690,Nationwide
Geico,B,5,Poor,91,533,Regional
Geico,C,10,Excellent,122,357,Selected states
Geico,C,13,Good,130,238,Nationwide
USAA,D,5,Excellent,99,612,Selected states
Progressive,D,13,Average,136,208,Nationwide
Allstate,E,10,Poor,128,385,Selected states
Allstate,A,6,Poor,110,450,Selected states
State Farm,B,9,Poor,54,282,Selected states
State Farm,D,6,Good,150,649,Nationwide
State Farm,A,10,Poor,117,310,Regional
USAA,C,7,Excellent,107,526,Nationwide
Progressive,B,15,Poor,52,658,Nationwide
Allstate,B,6,Good,81,774,Selected states
USAA,E,5,Good,96,516,Regional
State Farm,B,7,Poor,114,703,Selected states
Allstate,E,15,Excellent,150,630,Nationwide
USAA,B,12,Excellent,101,324,Nationwide
USAA,A,5,Average,118,318,Regional
USAA,D,14,Excellent,55,729,Selected states
Progressive,D,7,Excellent,99,341,Nationwide
Progressive,A,12,Excellent,62,248,Regional
Progressive,C,6,Excellent,122,302,Regional
State Farm,B,13,Good,143,255,Selected states
State Farm,A,14,Excellent,73,499,Nationwide
Allstate,C,10,Excellent,123,780,Nationwide
Geico,E,5,Average,64,663,Regional
Geico,E,7,Good,129,640,Selected states
USAA,C,10,Good,86,419,Nationwide
State Farm,B,12,Excellent,68,332,Nationwide
Progressive,C,11,Good,143,333,Regional
Geico,C,13,Poor,131,279,Nationwide
Geico,C,11,Excellent,149,283,Nationwide
State Farm,E,5,Good,108,736,Selected states
Allstate,E,6,Excellent,95,376,Regional
Allstate,B,7,Excellent,64,746,Selected states
State Farm,B,12,Good,116,210,Nationwide
Allstate,A,14,Poor,50,553,Selected states
Progressive,B,5,Good,63,562,Regional
Geico,A,10,Good,86,565,Selected states
Progressive,A,13,Excellent,106,493,Nationwide
Allstate,D,10,Excellent,132,424,Selected states
Geico,B,15,Good,128,551,Regional
State Farm,D,14,Good,126,715,Selected states
Geico,B,5,Excellent,65,204,Selected states
Geico,B,15,Average,133,708,Selected states
Geico,B,13,Average,139,219,Nationwide
Progressive,E,13,Good,81,464,Regional
Allstate,E,7,Good,67,439,Regional
